"HOF","FY","LY","SP","POS","ASG","G","AB","R","H","DB","TP","HR","RBI","SB","CS","BB","SO","AVG","SLG","OBP"
"N",1984,1995,12,"C",0,879,2473,185,663,109,5,18,294,5,15,321,244,268,338,351
"N",1992,2006,11,"SS",0,594,1271,166,293,50,12,15,115,37,10,86,276,231,324,282
"N",1955,1968,12,"OF",0,1583,5980,735,1596,237,81,91,502,47,54,442,647,267,379,316
"N",1996,2008,12,"OF",0,1092,3627,579,995,222,28,137,555,30,13,504,689,274,464,364
"N",1971,1986,16,"OF",0.19,1941,6677,901,1575,240,25,442,1210,85,49,608,1816,236,478,302
"N",1985,1994,10,"OF",0,899,2262,318,564,59,32,14,173,161,46,168,217,249,322,301
"N",1982,2007,23,"SS",0.13,2527,8677,1285,2586,407,54,173,1194,281,107,917,1341,298,417,365
"N",1967,1976,10,"2B",0,977,2447,238,565,61,21,13,202,13,22,271,272,231,289,307
"N",1973,1984,11,"OF",0,991,2803,331,699,111,28,17,253,125,69,186,464,249,327,297
"N",1984,1993,10,"OF",0,884,2178,296,569,87,9,44,210,130,26,107,352,261,370,299
"N",1976,1994,19,"OF",0.11,2154,7731,1169,2207,281,147,41,585,668,134,425,1144,285,376,326
"N",1984,1998,13,"OF",0.15,1223,4134,630,1173,224,25,234,760,30,31,491,719,284,520,360
"N",1989,1999,11,"3B",0,1201,4262,600,1091,222,18,154,709,75,32,442,584,256,425,324
"N",1992,2008,17,"2B",0.29,2298,8498,1320,2461,560,47,377,1518,94,60,801,1522,290,500,356
"N",1962,1971,10,"C",0,538,1639,157,382,53,8,25,146,28,22,120,231,233,321,289
"N",1985,1994,10,"C",0,692,1955,174,456,85,6,35,212,4,13,98,396,233,337,268
"N",1980,1992,13,"C",0.15,1441,4373,398,1131,198,12,68,446,29,24,567,307,259,356,344
"N",1955,1967,13,"C",0.31,1141,3586,393,969,150,17,104,449,13,12,421,470,270,409,349
"N",1969,1986,17,"3B",0.24,2155,7402,1115,1954,307,40,195,918,238,94,1153,868,264,395,365
"N",1995,2005,11,"OF",0,1362,4910,736,1336,270,33,187,709,91,53,649,796,272,455,358
"N",1992,2002,11,"OF",0.09,950,3031,389,784,176,9,160,523,10,14,276,803,259,481,321
"N",1992,2002,11,"SS",0,1105,3917,614,1093,281,17,124,558,47,31,463,524,279,454,360
"N",1968,1978,10,"C",0,367,892,72,168,37,1,14,82,4,3,95,191,188,279,267
"N",1992,2003,11,"OF",0,1232,4242,664,1172,220,48,132,485,173,65,390,879,276,444,339
"N",1958,1975,18,"OF",0.11,2469,9645,1366,2757,485,127,256,1170,305,122,574,1196,286,442,327
"N",1962,1974,13,"OF",0.08,1421,3974,518,1002,163,25,159,560,17,19,491,832,252,426,335
"N",1973,1984,12,"SS",0,996,2848,250,687,84,12,14,231,9,23,143,329,241,294,283
"N",1981,1991,11,"OF",0.09,1035,3593,433,971,173,8,148,530,26,33,247,810,270,446,321
"N",1951,1961,11,"C",0,946,2796,260,750,126,17,38,313,3,16,264,143,268,366,339
"N",1984,1993,10,"C",0,448,1087,113,245,50,3,34,129,3,3,84,355,225,371,282
"N",1963,1980,16,"OF",0.06,1458,4017,509,1122,160,37,36,329,125,58,212,422,279,364,315
"N",1987,1998,10,"C",0,301,794,79,191,45,2,11,72,0,2,39,138,241,344,289
"N",1966,1977,11,"C",0,887,2645,251,623,93,7,76,301,14,17,222,607,236,362,296
"N",1982,1998,17,"SS",0,1154,2301,217,508,55,14,2,142,43,17,136,384,221,259,270
"N",1976,1993,18,"SS",0.06,1962,6780,759,1688,245,78,24,527,192,134,338,664,249,319,285
"N",1972,1985,14,"3B",0,959,2811,268,751,122,18,44,311,16,16,186,413,267,370,313
"N",1963,1979,15,"OF",0.07,1651,5606,712,1677,278,17,204,890,21,26,642,663,299,464,369
"N",1955,1966,12,"OF",0,1450,4644,623,1251,193,37,136,591,16,23,418,696,269,415,330
"N",1988,2003,11,"OF",0.09,747,2527,322,708,135,14,54,324,102,57,203,507,280,409,334
"N",1976,1989,14,"OF",0.07,1475,4124,571,1068,191,24,93,460,197,90,642,627,259,385,359
