 GLENCOE HS,GLENCOE,PAYNE COUNTY,740,100,2016-09-14 18:06:14,
 GLENPOOL HS,GLENPOOL,TULSA COUNTY,740,621,2016-09-14 18:06:14,
 GOODWELL HS,GOODWELL,TEXAS COUNTY,739,49,2016-09-14 18:06:14,
 YARBROUGH HS,GOODWELL,TEXAS COUNTY,739,24,2016-09-14 18:06:14,
 GORE HS,GORE,SEQUOYAH COUNTY,744,152,2016-09-14 18:06:14,
 GRACEMONT HS,GRACEMONT,CADDO COUNTY,730,46,2016-09-14 18:06:14,
 GRANDFIELD HS,GRANDFIELD,TILLMAN COUNTY,735,62,2016-09-14 18:06:14,
 GRANITE HS,GRANITE,GREER COUNTY,735,67,2016-09-14 18:06:14,
 GROVE HS,GROVE,DELAWARE COUNTY,743,732,2016-09-14 18:06:14,
 GUTHRIE HS,GUTHRIE,LOGAN COUNTY,730,900,2016-09-14 18:06:14,
 GUYMON HS,GUYMON,TEXAS COUNTY,739,730,2016-09-14 18:06:14,
 HAMMON HS,HAMMON,ROGER MILLS COUNTY,736,62,2016-09-14 18:06:14,
 HANNA HS,HANNA,MCINTOSH COUNTY,748,372,2016-09-14 18:06:14,
 HARDESTY HS,HARDESTY,TEXAS COUNTY,739,26,2016-09-14 18:06:14,
 HARRAH HS,HARRAH,OKLAHOMA COUNTY,730,477,2016-09-14 18:06:14,
 HARTSHORNE HS,HARTSHORNE,PITTSBURG COUNTY,745,175,2016-09-14 18:06:14,
 HASKELL HS,HASKELL,MUSKOGEE COUNTY,744,251,2016-09-14 18:06:14,
 HAWORTH HS,HAWORTH,MCCURTAIN COUNTY,747,164,2016-09-14 18:06:14,
 HEALDTON HS,HEALDTON,CARTER COUNTY,734,142,2016-09-14 18:06:14,
 HEAVENER HS,HEAVENER,LE FLORE COUNTY,749,336,2016-09-14 18:06:14,
 TIMBERLAKE HS,HELENA,ALFALFA COUNTY,737,64,2016-09-14 18:06:14,
 HENNESSEY HS,HENNESSEY,KINGFISHER COUNTY,737,225,2016-09-14 18:06:14,
 WILSON HS,HENRYETTA,OKMULGEE COUNTY,744,81,2016-09-14 18:06:14,
 HENRYETTA HS,HENRYETTA,OKMULGEE COUNTY,744,336,2016-09-14 18:06:14,
 HINTON HS,HINTON,CADDO COUNTY,730,203,2016-09-14 18:06:14,
 HOBART HS,HOBART,KIOWA COUNTY,736,238,2016-09-14 18:06:14,
 MOSS HS,HOLDENVILLE,HUGHES COUNTY,748,75,2016-09-14 18:06:14,
 HOLDENVILLE HS,HOLDENVILLE,HUGHES COUNTY,748,291,2016-09-14 18:06:14,
 HOLLIS HS,HOLLIS,HARMON COUNTY,735,141,2016-09-14 18:06:14,
 HOMINY HS,HOMINY,OSAGE COUNTY,740,181,2016-09-14 18:06:14,
 HOOKER HS,HOOKER,TEXAS COUNTY,739,141,2016-09-14 18:06:14,
 HOWE HS,HOWE,LE FLORE COUNTY,749,136,2016-09-14 18:06:14,
 HUGO HS,HUGO,CHOCTAW COUNTY,747,313,2016-09-14 18:06:14,
 HULBERT JR-SR HS (JR),HULBERT,CHEROKEE COUNTY,744,NA,2016-09-14 18:06:14,
 HULBERT JR-SR HS (SR),HULBERT,CHEROKEE COUNTY,744,208,2016-09-14 18:06:14,
 HYDRO-EAKLY HS,HYDRO,CADDO COUNTY,730,132,2016-09-14 18:06:14,
 IDABEL HS,IDABEL,MCCURTAIN COUNTY,747,434,2016-09-14 18:06:14,
 INDIAHOMA HS,INDIAHOMA,COMANCHE COUNTY,735,66,2016-09-14 18:06:14,
 INDIANOLA HS,INDIANOLA,PITTSBURG COUNTY,744,106,2016-09-14 18:06:14,
 INOLA HS,INOLA,ROGERS COUNTY,740,399,2016-09-14 18:06:14,
 JAY HS,JAY,DELAWARE COUNTY,743,475,2016-09-14 18:06:14,
 JENKS HS,JENKS,TULSA COUNTY,740,2181,2016-09-14 18:06:14,
 JONES HS,JONES,OKLAHOMA COUNTY,730,338,2016-09-14 18:06:14,
 KANSAS HS,KANSAS,DELAWARE COUNTY,743,335,2016-09-14 18:06:14,
 KELLYVILLE HS,KELLYVILLE,CREEK COUNTY,740,360,2016-09-14 18:06:14,
 KEOTA HS,KEOTA,HASKELL COUNTY,749,119,2016-09-14 18:06:14,
 KEYES HS,KEYES,CIMARRON COUNTY,739,20,2016-09-14 18:06:14,
 KIEFER HS,KIEFER,CREEK COUNTY,740,160,2016-09-14 18:06:14,
 KINGFISHER HS,KINGFISHER,KINGFISHER COUNTY,737,357,2016-09-14 18:06:14,
 KINGSTON HS,KINGSTON,MARSHALL COUNTY,734,312,2016-09-14 18:06:14,
 KINTA HS,KINTA,HASKELL COUNTY,745,72,2016-09-14 18:06:14,
 KIOWA HS,KIOWA,PITTSBURG COUNTY,745,82,2016-09-14 18:06:14,
 KONAWA HS,KONAWA,SEMINOLE COUNTY,748,196,2016-09-14 18:06:14,
 KREMLIN-HILLSDALE HS,KREMLIN,GARFIELD COUNTY,737,75,2016-09-14 18:06:14,
 CIMARRON HS,LAHOMA,GARFIELD COUNTY,737,83,2016-09-14 18:06:14,
 DEER CREEK-LAMONT HS,LAMONT,GRANT COUNTY,746,64,2016-09-14 18:06:14,
 LAVERNE HS,LAVERNE,HARPER COUNTY,738,128,2016-09-14 18:06:14,
 MACARTHUR HS,LAWTON,COMANCHE COUNTY,735,1127,2016-09-14 18:06:14,
 LAWTON HS,LAWTON,COMANCHE COUNTY,735,1864,2016-09-14 18:06:14,
 EISENHOWER HS,LAWTON,COMANCHE COUNTY,735,1387,2016-09-14 18:06:14,
 LEEDEY HS,LEEDEY,DEWEY COUNTY,736,61,2016-09-14 18:06:14,
 LEXINGTON HS,LEXINGTON,CLEVELAND COUNTY,730,198,2016-09-14 18:06:14,
 LINDSAY HS,LINDSAY,GARVIN COUNTY,730,273,2016-09-14 18:06:14,
 LOCUST GROVE HS,LOCUST GROVE,MAYES COUNTY,743,472,2016-09-14 18:06:14,
 LONE GROVE HS,LONE GROVE,CARTER COUNTY,734,400,2016-09-14 18:06:14,
 LONE WOLF HS,LONE WOLF,KIOWA COUNTY,736,28,2016-09-14 18:06:14,
 LOOKEBA-SICKLES HS,LOOKEBA,CADDO COUNTY,730,71,2016-09-14 18:06:14,
 LUTHER HS,LUTHER,OKLAHOMA COUNTY,730,243,2016-09-14 18:06:14,
 MACOMB HS,MACOMB,POTTAWATOMIE COUNTY,748,110,2016-09-14 18:06:14,
 MADILL HS,MADILL,MARSHALL COUNTY,734,486,2016-09-14 18:06:14,
 MANGUM HS,MANGUM,GREER COUNTY,735,192,2016-09-14 18:06:14,
 MANNFORD HS,MANNFORD,CREEK COUNTY,740,517,2016-09-14 18:06:14,
 MARIETTA HS,MARIETTA,LOVE COUNTY,734,283,2016-09-14 18:06:14,
 MARLOW HS,MARLOW,STEPHENS COUNTY,730,358,2016-09-14 18:06:14,
 CENTRAL HIGH HS,MARLOW,STEPHENS COUNTY,730,126,2016-09-14 18:06:14,
 BRAY-DOYLE HS,MARLOW,STEPHENS COUNTY,730,118,2016-09-14 18:06:14,
 MAUD HS,MAUD,POTTAWATOMIE COUNTY,748,71,2016-09-14 18:06:14,
 MAYSVILLE HS,MAYSVILLE,GARVIN COUNTY,730,134,2016-09-14 18:06:14,
 MCALESTER HS,MCALESTER,PITTSBURG COUNTY,745,893,2016-09-14 18:06:14,
 MCCURTAIN HS,MCCURTAIN,HASKELL COUNTY,749,71,2016-09-14 18:06:14,
 MCLOUD HS,MCLOUD,POTTAWATOMIE COUNTY,748,562,2016-09-14 18:06:14,
 MEDFORD HS,MEDFORD,GRANT COUNTY,737,70,2016-09-14 18:06:14,
 MEEKER HS,MEEKER,LINCOLN COUNTY,748,319,2016-09-14 18:06:14,
 MIAMI HS,MIAMI,OTTAWA COUNTY,743,726,2016-09-14 18:06:14,
 MILBURN HS,MILBURN,JOHNSTON COUNTY,734,60,2016-09-14 18:06:14,
 MILL CREEK HS,MILL CREEK,JOHNSTON COUNTY,748,52,2016-09-14 18:06:14,
 MINCO HS,MINCO,GRADY COUNTY,730,146,2016-09-14 18:06:14,
 MORRIS HS,MORRIS,OKMULGEE COUNTY,744,329,2016-09-14 18:06:14,
 MORRISON HS,MORRISON,NOBLE COUNTY,730,135,2016-09-14 18:06:14,
 MOUNDS HS,MOUNDS,CREEK COUNTY,740,216,2016-09-14 18:06:14,
 LIBERTY HS,MOUNDS,TULSA COUNTY,740,192,2016-09-14 18:06:14,
 MOUNTAIN VIEW-GOTEBO HS,MOUNTAIN VIEW,KIOWA COUNTY,730,59,2016-09-14 18:06:14,
 MOYERS HS,MOYERS,PUSHMATAHA COUNTY,745,52,2016-09-14 18:06:14,
 MULDROW HS,MULDROW,SEQUOYAH COUNTY,749,558,2016-09-14 18:06:14,
 MUSKOGEE HS,MUSKOGEE,MUSKOGEE COUNTY,744,1639,2016-09-14 18:06:14,
 HILLDALE HS,MUSKOGEE,MUSKOGEE COUNTY,744,486,2016-09-14 18:06:14,
 MUSTANG HS,MUSTANG,CANADIAN COUNTY,730,1750,2016-09-14 18:06:14,
 SHARON-MUTUAL HS,MUTUAL,WOODWARD COUNTY,738,69,2016-09-14 18:06:14,
 NEWCASTLE HS,NEWCASTLE,MCCLAIN COUNTY,730,484,2016-09-14 18:06:14,
 NEWKIRK HS,NEWKIRK,KAY COUNTY,746,263,2016-09-14 18:06:14,
 NOBLE HS,NOBLE,CLEVELAND COUNTY,730,816,2016-09-14 18:06:14,
 NORMAN HS,NORMAN,CLEVELAND COUNTY,730,1680,2016-09-14 18:06:14,
 LITTLE AXE HS,NORMAN,CLEVELAND COUNTY,730,368,2016-09-14 18:06:14,
 NORMAN NORTH HS,NORMAN,CLEVELAND COUNTY,730,2113,2016-09-14 18:06:14,
 NOWATA HS,NOWATA,NOWATA COUNTY,740,265,2016-09-14 18:06:14,
 OAKS-MISSION HS,OAKS,DELAWARE COUNTY,743,113,2016-09-14 18:06:14,
 OKARCHE HS,OKARCHE,KINGFISHER COUNTY,737,74,2016-09-14 18:06:14,
 OKEENE JR-SR HS (JR),OKEENE,BLAINE COUNTY,737,NA,2016-09-14 18:06:14,
 OKEENE JR-SR HS (SR),OKEENE,BLAINE COUNTY,737,101,2016-09-14 18:06:14,
 OKEMAH HS,OKEMAH,OKFUSKEE COUNTY,748,291,2016-09-14 18:06:14,
 JOHN MARSHALL HS,OKLAHOMA CITY,CLEVELAND COUNTY,731,430,2016-09-14 18:06:14,
 NORTHEAST HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,201,2016-09-14 18:06:14,
 OKLAHOMA CENTENNIAL HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,351,2016-09-14 18:06:14,
 CARL ALBERT HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1057,2016-09-14 18:06:14,
 HARDING CHARTER PREPARATORY HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,462,2016-09-14 18:06:14,
 DEL CITY HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1316,2016-09-14 18:06:14,
 DOUGLASS HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,535,2016-09-14 18:06:14,
 CAPITOL HILL HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1041,2016-09-14 18:06:14,
 MILLWOOD HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,269,2016-09-14 18:06:14,
 PUTNAM CITY WEST HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1582,2016-09-14 18:06:14,
 WESTMOORE HS,OKLAHOMA CITY,CLEVELAND COUNTY,731,1950,2016-09-14 18:06:14,
 SANTA FE SOUTH HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,557,2016-09-14 18:06:14,
 WESTERN HEIGHTS HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,860,2016-09-14 18:06:14,
 ASTEC CHARTER HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,579,2016-09-14 18:06:14,
 CROOKED OAK HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,259,2016-09-14 18:06:14,
 PUTNAM CITY HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1768,2016-09-14 18:06:14,
 MIDWEST CITY HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1590,2016-09-14 18:06:14,
 CLASSEN HS OF ADVANCED STUDIES,OKLAHOMA CITY,OKLAHOMA COUNTY,731,547,2016-09-14 18:06:14,
 NORTHWEST CLASSEN HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,1068,2016-09-14 18:06:14,
 SOUTHEAST HS,OKLAHOMA CITY,OKLAHOMA COUNTY,731,701,2016-09-14 18:06:14,
