School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
BETHANY HS,BETHANY,BETHANY,OKLAHOMA COUNTY,28.2,,,126,115,129,92,,,,462,16.38
BETHANY MS,BETHANY,BETHANY,OKLAHOMA COUNTY,17.8,119,123,,,,,4,,363,,20.62
BETHEL ES,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,40,,,,,,,,164,498,,16.55
BETHEL HS,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,22.6,,,95,106,85,94,,,,380,16.81
BETHEL MS,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,18.9,99,96,,,,,,,302,,15.98
BIG PASTURE ES,RANDLETT,RANDLETT,COTTON COUNTY,11.8,13,14,,,,,,33,107,,11.86
BIG PASTURE HS,RANDLETT,RANDLETT,COTTON COUNTY,7.5,,,24,19,21,21,,,,85,11.33
BILL WALLACE EC CTR,CHICKASHA,CHICKASHA,GRADY COUNTY,18,,,,,,,,387,,,21.5
BILLINGS ES,BILLINGS,BILLINGS,NOBLE COUNTY,5,3,6,,,,,,14,45,,11.8
BILLINGS HS,BILLINGS,BILLINGS,NOBLE COUNTY,7,,,5,9,4,13,,,,31,4.43
BINGER-ONEY ES,BINGER,BINGER,CADDO COUNTY,14.9,31,19,,,,,,44,196,,16.11
BINGER-ONEY HS,BINGER,BINGER,CADDO COUNTY,8.5,,,23,25,30,20,,,,98,11.53
BISHOP PUBLIC SCHOOL,LAWTON,LAWTON,COMANCHE COUNTY,27.4,,,,,,,,132,359,,17.92
BIXBY HS,BIXBY,BIXBY,TULSA COUNTY,76.5,,,351,324,328,336,,,,1339,17.5
BIXBY MS,BIXBY,BIXBY,TULSA COUNTY,40.2,382,343,,,,,,,725,,18.03
BIXBY NORTH ES,BIXBY,BIXBY,TULSA COUNTY,47.2,,,,,,,,344,685,,21.8
BLACKWELL ES,BLACKWELL,BLACKWELL,KAY COUNTY,35.9,,,,,,,,,545,,15.18
BLACKWELL HS,BLACKWELL,BLACKWELL,KAY COUNTY,25.8,,,86,98,98,114,,,,396,15.35
BLACKWELL MS,BLACKWELL,BLACKWELL,KAY COUNTY,23.2,104,130,,,,,,,353,,15.22
BLAIR ES,BLAIR,BLAIR,JACKSON COUNTY,13.6,25,21,,,,,,53,160,,15.66
BLAIR HS,BLAIR,BLAIR,JACKSON COUNTY,7.4,,,25,24,21,19,,,,89,12.03
BLANCHARD ES,BLANCHARD,BLANCHARD,MCCLAIN COUNTY,27.9,,,,,,,,254,261,,18.46
BLANCHARD HS,BLANCHARD,BLANCHARD,MCCLAIN COUNTY,31.9,,,131,127,130,94,,,,482,15.11
BLANCHARD INTERMEDIATE ES,BLANCHARD,BLANCHARD,MCCLAIN COUNTY,19.7,,,,,,,,,383,,19.44
BLANCHARD MS,BLANCHARD,BLANCHARD,MCCLAIN COUNTY,20.2,94,125,,,,,,,334,,16.53
BLANCHE THOMAS HS,SENTINEL,SENTINEL,WASHITA COUNTY,9.3,,,18,22,18,32,,,,90,9.68
BLUEJACKET ES,BLUEJACKET,BLUEJACKET,CRAIG COUNTY,8.1,,,,,,,,16,76,,11.36
BLUEJACKET HS,BLUEJACKET,BLUEJACKET,CRAIG COUNTY,5.9,,,20,21,13,12,,,,66,11.19
BLUEJACKET MS,BLUEJACKET,BLUEJACKET,CRAIG COUNTY,4.4,19,17,,,,,,,52,,11.82
BODINE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,30.2,,,,,,,,141,490,,20.89
BOEVERS ES,TULSA,TULSA,TULSA COUNTY,32.9,,,,,,,,147,415,,17.08
BOISE CITY ES,BOISE CITY,BOISE CITY,CIMARRON COUNTY,13.6,28,23,,,,,,42,168,,15.44
BOISE CITY HS,BOISE CITY,BOISE CITY,CIMARRON COUNTY,9.2,,,16,22,22,14,,,,74,8.04
BOKOSHE ES,BOKOSHE,BOKOSHE,LE FLORE COUNTY,9.1,,,,,,,,29,101,,14.29
BOKOSHE HS,BOKOSHE,BOKOSHE,LE FLORE COUNTY,4.9,,,,13,21,16,,,,50,10.2
BOKOSHE JHS,BOKOSHE,BOKOSHE,LE FLORE COUNTY,3.7,19,15,14,,,,,,34,14,12.97
BOOKER T. WASHINGTON HS,TULSA,TULSA,TULSA COUNTY,68.6,,,341,318,320,289,,,,1268,18.48
