School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
HOLLIS HS,HOLLIS,HOLLIS,HARMON COUNTY,12.9,,,40,31,30,40,4,,,141,11.24
HOLLIS MS,HOLLIS,HOLLIS,HARMON COUNTY,10.6,34,31,,,,,2,,107,,10.28
HOLLY CREEK PUBLIC SCHOOL,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,13.7,21,22,,,,,,42,163,,14.96
HOMER ES,ADA,ADA,PONTOTOC COUNTY,39.9,,,,,,,,204,400,,15.14
HOMER LONG ES,GUYMON,GUYMON,TEXAS COUNTY,12.4,,,,,,,,80,124,,16.45
HOMINY HS,HOMINY,HOMINY,OSAGE COUNTY,14.4,,,49,43,53,36,,,,181,12.57
HOMINY MS,HOMINY,HOMINY,OSAGE COUNTY,7.5,39,35,,,,,,,118,,15.73
HOOKER ES,HOOKER,HOOKER,TEXAS COUNTY,26.7,43,43,,,,,1,78,360,,16.44
HOOKER HS,HOOKER,HOOKER,TEXAS COUNTY,13.5,,,33,45,31,32,3,,,141,10.67
HOOVER ES,ENID,ENID,GARFIELD COUNTY,22.5,,,,,,,,130,229,,15.96
HOOVER ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,27.4,,,,,,,,107,316,,15.44
HOOVER ES,TULSA,TULSA,TULSA COUNTY,33.8,,,,,,,,154,414,,16.8
HORACE MANN ES,WOOWARD,WOODWARD,WOODWARD COUNTY,17.3,,,,,,,,,276,,15.95
HORACE MANN ES,HOMINY,HOMINY,OSAGE COUNTY,22,,,,,,,,101,232,,15.14
HORACE MANN ES,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,23.9,,,,,,,,,316,,13.22
HORACE MANN ES,DUNCAN,DUNCAN,STEPHENS COUNTY,23.3,,,,,,,,82,371,,19.44
HORACE MANN ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,19,,,,,,,1,96,246,,18.05
HOUCHIN ES,MOORE,MOORE,CLEVELAND COUNTY,30.1,,,,,,,,107,385,,16.35
HOUSTON ES,TULSA,TULSA,TULSA COUNTY,16.5,,,,,,,,44,147,,11.58
HOWE ES,HOWE,HOWE,LE FLORE COUNTY,21.7,33,35,,,,,4,85,281,,17.05
HOWE HS,HOWE,HOWE,LE FLORE COUNTY,12.1,,,36,33,34,33,,,,136,11.24
HOWELL ES,LAWTON,LAWTON,COMANCHE COUNTY,15.5,,,,,,,,38,143,,11.68
HUGH BISH ES,LAWTON,LAWTON,COMANCHE COUNTY,19.1,,,,,,,,61,278,,17.75
HUGO ES,HUGO,HUGO,CHOCTAW COUNTY,27.7,,,,,,,,194,275,,16.93
HUGO HS,HUGO,HUGO,CHOCTAW COUNTY,26.2,,,85,79,66,83,,,,313,11.95
HUGO INTERMEDIATE SCHOOL,HUGO,HUGO,CHOCTAW COUNTY,9.9,,,,,,,,,163,,16.46
HUGO MS,HUGO,HUGO,CHOCTAW COUNTY,18.4,104,77,,,,,,,259,,14.08
HULBERT ES,HULBERT,HULBERT,CHEROKEE COUNTY,20,,,,,,,,68,238,,15.3
HULBERT JR-SR HS (JR),HULBERT,HULBERT,CHEROKEE COUNTY,5.1,51,39,,,,,,,90,,17.65
HULBERT JR-SR HS (SR),HULBERT,HULBERT,CHEROKEE COUNTY,17,,,57,55,42,54,,,,208,12.24
HUPFELD ACAD./WESTERN VILLAGE,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,21.3,,,,,,,,90,240,,15.49
HUSTON EC CTR,BLACKWELL,BLACKWELL,KAY COUNTY,8.9,,,,,,,,206,,,23.15
HYDRO-EAKLY ES,HYDRO,HYDRO,BLAINE COUNTY,19,,,,,,,,89,185,,14.42
HYDRO-EAKLY HS,HYDRO,HYDRO,CADDO COUNTY,10.8,,,36,35,29,32,,,,132,12.22
HYDRO-EAKLY MS,HYDRO,HYDRO,BLAINE COUNTY,7.2,28,34,,,,,,,95,,13.19
IDA FREEMAN ES,EDMOND,EDMOND,OKLAHOMA COUNTY,32.5,,,,,,,,125,359,,14.89
IDABEL HS,IDABEL,IDABEL,MCCURTAIN COUNTY,36.7,,,112,113,109,100,,,,434,11.83
IDABEL MS,IDABEL,IDABEL,MCCURTAIN COUNTY,23.3,89,79,,,,,,,246,,10.56
IDABEL PRIMARY ES,IDABEL,IDABEL,MCCURTAIN COUNTY,11.7,,,,,,,3,,187,,16.24
INDEPENDENCE CHARTER MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,18.5,104,92,,,,,,,303,,16.38
INDEPENDENCE MS,YUKON,YUKON,CANADIAN COUNTY,45.9,258,244,,,,,,,747,,16.27
INDIAHOMA ES,INDIAHOMA,INDIAHOMA,COMANCHE COUNTY,11.1,10,16,,,,,,34,103,,12.34
INDIAHOMA HS,INDIAHOMA,INDIAHOMA,COMANCHE COUNTY,6.7,,,15,21,16,14,,,,66,9.85
INDIAN CAMP ES,PAWHUSKA,PAWHUSKA,OSAGE COUNTY,14.6,,,,,,,,,187,,12.81
INDIAN MERIDIAN ES,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,23.4,,,,,,,,226,275,,21.41
INDIAN SPRINGS ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,27.6,,,,,,,,137,380,,18.73
INDIANOLA ES,INDIANOLA,INDIANOLA,PITTSBURG COUNTY,11.4,8,17,,,,,2,24,124,,13.16
INDIANOLA HS,INDIANOLA,INDIANOLA,PITTSBURG COUNTY,8.3,,,26,27,21,32,2,,,106,13.01
INOLA ES,INOLA,INOLA,ROGERS COUNTY,28.8,,,,,,,,190,350,,18.75
INOLA HS,INOLA,INOLA,ROGERS COUNTY,28.1,,,103,91,100,105,2,,,399,14.27
INOLA MS,INOLA,INOLA,ROGERS COUNTY,24.5,92,104,,,,,3,,383,,15.76
IRVING ES,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,20,,,,,,,2,77,308,,19.35
IRVING MS,NORMAN,NORMAN,CLEVELAND COUNTY,45.1,255,270,,,,,,,775,,17.18
J. F. KENNEDY ES,OILTON,OILTON,CREEK COUNTY,12.1,21,18,,,,,,38,170,,17.19
J. W. SAM ES,CATOOSA,CATOOSA,ROGERS COUNTY,20.3,,,,,,,,,314,,15.47
JACKSON ES,TULSA,TULSA,TULSA COUNTY,18.8,,,,,,,,88,221,,16.44
JACKSON ES,NORMAN,NORMAN,CLEVELAND COUNTY,31.7,,,,,,,,125,375,,15.77
JACKSON ES,LAWTON,LAWTON,COMANCHE COUNTY,15.9,,,,,,,,48,147,,12.26
JACKSON ES,PAULS VALLEY,PAULS VALLEY,GARVIN COUNTY,18,,,,,,,,,272,,15.11
JACKSON MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,33.1,198,197,,,,,,,508,,15.35
JAMES GRIFFITH INTERMEDIATE ES,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,23.9,,,,,,,,,430,,17.99
JAMES L. CAPPS MS,WARR ACRES,WARR ACRES,OKLAHOMA COUNTY,60.3,278,256,,,,,,,836,,13.86
JANE PHILLIPS ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,27.1,,,,,,,,97,241,,12.47
JARMAN ES,TULSA,TULSA,TULSA COUNTY,31.4,,,,,,,,162,394,,17.71
JARMAN MS,MIDWEST CITY,MIDWEST CITY,OKLAHOMA COUNTY,37.7,184,164,,,,,,,526,,13.95
JAY ES,JAY,JAY,DELAWARE COUNTY,41,,,,,,,,249,427,,16.49
JAY HS,JAY,JAY,DELAWARE COUNTY,38.4,,,122,127,114,112,3,,,475,12.45
JAY MS,JAY,JAY,DELAWARE COUNTY,16.1,115,123,,,,,,,238,,14.78
JAY UPPER ES,JAY,JAY,DELAWARE COUNTY,21.5,,,,,,,,,373,,17.35
JEFFERSON EARLY LRNING CTR,PAULS VALLEY,PAULS VALLEY,GARVIN COUNTY,9,,,,,,,,181,,,20.11
JEFFERSON EC CTR,MCALESTER,MCALESTER,PITTSBURG COUNTY,8,,,,,,,,148,,,18.5
JEFFERSON ES,NORMAN,NORMAN,CLEVELAND COUNTY,26.4,,,,,,,,118,275,,14.89
JEFFERSON ES,ARDMORE,ARDMORE,CARTER COUNTY,18.9,,,,,,,,,247,,13.07
JEFFERSON ES,PRYOR,PRYOR,MAYES COUNTY,17.9,,,,,,,5,39,239,,15.81
JEFFERSON ES,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,26,,,,,,,1,,360,,13.88
JEFFERSON HEIGHTS ES,SAPULPA,SAPULPA,CREEK COUNTY,22.4,,,,,,,,98,315,,18.44
JEFFERSON MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,62.8,330,303,,,,,,,1005,,16
JENKS EAST ES,TULSA,JENKS,TULSA COUNTY,101.1,,,,,,,,516,1238,,17.35
JENKS EAST INTERMEDIATE ES,TULSA,JENKS,TULSA COUNTY,54.2,,,,,,,,,979,,18.06
JENKS HS,JENKS,JENKS,TULSA COUNTY,126.5,,,,747,791,643,,,,2181,17.24
JENKS MS,TULSA,JENKS,TULSA COUNTY,88.9,789,824,,,,,,,1613,,18.14
JENKS WEST ES,JENKS,JENKS,TULSA COUNTY,88.8,,,,,,,,542,1220,,19.84
JENKS WEST INTERMEDIATE ES,JENKS,JENKS,TULSA COUNTY,36.2,,,,,,,,,584,,16.13
JENNINGS PUBLIC SCHOOL,JENNINGS,JENNINGS,PAWNEE COUNTY,13.5,20,24,,,,,1,39,160,,14.81
JOHN GLENN ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,45.4,,,,,,,,226,570,,17.53
JOHN K. HUBBARD ES,NOBLE,NOBLE,CLEVELAND COUNTY,24,,,,,,,,,445,,18.54
JOHN MARSHALL HS,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,31.1,,,138,101,93,98,1,,,430,13.86
JOHN MARSHALL MS,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,26.7,133,117,,,,,,,398,,14.91
JOHN ROSS ES,EDMOND,EDMOND,OKLAHOMA COUNTY,47.5,,,,,,,,231,679,,19.16
JOHNSON ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,14.1,,,,,,,1,91,130,,15.74
JONES ES,JONES,JONES,OKLAHOMA COUNTY,30.3,,,,,,,,138,440,,19.08
JONES ES,TULSA,TULSA,TULSA COUNTY,19,,,,,,,,98,213,,16.37
JONES HS,JONES,JONES,OKLAHOMA COUNTY,22.6,,,103,81,75,79,,,,338,14.96
JONES MS,JONES,JONES,OKLAHOMA COUNTY,17.2,75,88,,,,,,,252,,14.65
JUSTICE A.W. SEEWORTH ACADEMY,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,22,,,,,,,,,,,20.55
JUSTICE PUBLIC SCHOOL,WEWOKA,WEWOKA,SEMINOLE COUNTY,16,18,16,,,,,,39,147,,11.63
JUSTUS-TIAWAH PUBLIC SCHOOL,CLAREMORE,CLAREMORE,ROGERS COUNTY,34.2,56,51,,,,,,97,468,,16.52
JUVENILE CTR,TECUMSEH,TECUMSEH,POTTAWATOMIE COUNTY,13,,,23,45,11,6,,,,85,6.54
KAISER ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,35.1,,,,,,,,146,442,,16.75
KANSAS ES,KANSAS,KANSAS,DELAWARE COUNTY,28.7,,,,,,,,138,285,,14.74
KANSAS HS,KANSAS,KANSAS,DELAWARE COUNTY,20.4,,,90,99,84,62,,,,335,16.42
KANSAS MS,KANSAS,KANSAS,DELAWARE COUNTY,13.3,61,79,,,,,,,212,,15.94
KATHERINE I. DAILY ES,NOBLE,NOBLE,CLEVELAND COUNTY,27.4,,,,,,,,367,235,,21.97
KELLY ES,MOORE,MOORE,CLEVELAND COUNTY,27.8,,,,,,,,101,384,,17.45
KELLYVILLE ES,KELLYVILLE,KELLYVILLE,CREEK COUNTY,20.9,,,,,,,2,134,268,,19.33
KELLYVILLE HS,KELLYVILLE,KELLYVILLE,CREEK COUNTY,22.5,,,100,94,92,74,,,,360,16
KELLYVILLE MS,KELLYVILLE,KELLYVILLE,CREEK COUNTY,14.4,88,89,,,,,,,177,,12.29
KELLYVILLE UPPER ES,KELLYVILLE,KELLYVILLE,CREEK COUNTY,15.6,,,,,,,,,268,,17.18
KENDALL-WHITTIER ES,TULSA,TULSA,TULSA COUNTY,66.7,,,,,,,,318,829,,17.2
KENNEDY ES,NORMAN,NORMAN,CLEVELAND COUNTY,40.4,,,,,,,,167,418,,14.48
KENWOOD PUBLIC SCHOOL,SALINA,SALINA,DELAWARE COUNTY,11,7,6,,,,,,15,71,,7.82
KEOTA ES,KEOTA,KEOTA,HASKELL COUNTY,21.9,23,33,,,,,,68,241,,14.11
KEOTA HS,KEOTA,KEOTA,HASKELL COUNTY,11.3,,,37,35,23,24,,,,119,10.53
KERR ES,TULSA,TULSA,TULSA COUNTY,35,,,,,,,34,151,441,,17.89
KERR MS,DEL CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,38,239,210,,,,,,,662,,17.42
KETCHUM ES,KETCHUM,KETCHUM,CRAIG COUNTY,20.1,,,,,,,,82,219,,14.98
KETCHUM HS,KETCHUM,KETCHUM,CRAIG COUNTY,17,,,66,40,51,46,,,,203,11.94
KETCHUM MS,KETCHUM,KETCHUM,CRAIG COUNTY,10.3,47,52,,,,,,,145,,14.08
KEY ES,TULSA,TULSA,TULSA COUNTY,31.5,,,,,,,,133,361,,15.68
KEYES ES,KEYES,KEYES,CIMARRON COUNTY,5.6,5,6,,,,,,12,40,,9.29
KEYES HS,KEYES,KEYES,CIMARRON COUNTY,4.2,,,3,5,7,5,,,,20,4.76
KEYS ES,PARK HILL,PARK HILL,CHEROKEE COUNTY,32.4,66,46,,,,,,89,426,,15.9
KEYS HS,PARK HILL,PARK HILL,CHEROKEE COUNTY,23.1,,,105,97,88,69,,,,359,15.54
KEYSTONE PUBLIC SCHOOL,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,30.1,51,41,,,,,,70,313,,12.72
KIEFER ES,KIEFER,KIEFER,CREEK COUNTY,17.7,,,,,,,,93,216,,17.46
KIEFER HS,KIEFER,KIEFER,CREEK COUNTY,9.5,,,42,43,40,35,,,,160,16.84
KILDARE PUBLIC SCHOOL,PONCA CITY,PONCA CITY,KAY COUNTY,4.5,,,,,,,,13,42,,12.22
KINGFISHER HS,KINGFISHER,KINGFISHER,KINGFISHER COUNTY,25.5,,,82,87,93,95,,,,357,14
KINGFISHER MS,KINGFISHER,KINGFISHER,KINGFISHER COUNTY,25.7,104,74,,,,,,,364,,14.16
KINGSGATE ES,OKLAHOMA CITY,OKLAHOMA CITY,CLEVELAND COUNTY,24.7,,,,,,,,124,357,,19.47
KINGSTON ES,KINGSTON,KINGSTON,MARSHALL COUNTY,32.4,,,,,,,,204,405,,18.8
KINGSTON HS,KINGSTON,KINGSTON,MARSHALL COUNTY,23.9,,,91,85,71,65,,,,312,13.05
KINGSTON MS,KINGSTON,KINGSTON,MARSHALL COUNTY,18,103,76,,,,,,,264,,14.67
KINTA ES,KINTA,KINTA,HASKELL COUNTY,8.6,21,16,,,,,1,34,97,,15.35
KINTA HS,KINTA,KINTA,HASKELL COUNTY,6.1,,,15,13,21,23,1,,,72,11.97
KIOWA ES,KIOWA,KIOWA,PITTSBURG COUNTY,15.3,23,21,,,,,,38,167,,13.4
KIOWA HS,KIOWA,KIOWA,PITTSBURG COUNTY,10.3,,,25,25,16,16,,,,82,7.96
KIPP REACH COLLEGE PREPARATORY,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,12.1,43,34,,,,,,,277,,22.89
KIPP TULSA ACAD. COLLEGE PREP.,TULSA,TULSA,TULSA COUNTY,16,97,68,,,,,,,338,,21.13
KIRKLAND ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,17.1,,,,,,,,73,241,,18.36
KONAWA ES,KONAWA,KONAWA,SEMINOLE COUNTY,23.6,,,,,,,,89,250,,14.36
KONAWA HS,KONAWA,KONAWA,SEMINOLE COUNTY,14.7,,,46,58,38,54,,,,196,13.33
KONAWA MS,KONAWA,KONAWA,SEMINOLE COUNTY,11.2,59,42,,,,,,,153,,13.66
KREBS PUBLIC SCHOOL,KREBS,KREBS,PITTSBURG COUNTY,25.9,30,31,,,,,,90,288,,14.59
KREMLIN-HILLSDALE ES,KREMLIN,KREMLIN,GARFIELD COUNTY,12.6,24,26,,,,,,49,179,,18.1
KREMLIN-HILLSDALE HS,KREMLIN,KREMLIN,GARFIELD COUNTY,7.4,,,23,17,16,19,,,,75,10.14
KROUCH ES,TECUMSEH,TECUMSEH,POTTAWATOMIE COUNTY,14.6,,,,,,,5,265,,,18.49
L. W. WESTFALL ES,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,24.5,,,,,,,,111,317,,17.47
LAKE PARK ES,BETHANY,BETHANY,OKLAHOMA COUNTY,25.9,,,,,,,,114,268,,14.75
LAKESIDE SCHOOL,GRANITE,GRANITE,GREER COUNTY,,,,9,9,10,14,,,,42,
LAKEVIEW ES,NORMAN,NORMAN,CLEVELAND COUNTY,18.7,,,,,,,,53,198,,13.42
LAKEVIEW MS,YUKON,YUKON,CANADIAN COUNTY,46.4,275,268,,,,,,,844,,18.19
LANE PUBLIC SCHOOL,LANE,LANE,ATOKA COUNTY,13.8,22,15,,,,,4,42,153,,14.42
LANIER ES,TULSA,TULSA,TULSA COUNTY,18,,,,,,,,91,222,,17.39
LARKIN BAILEY ES,OWASSO,OWASSO,TULSA COUNTY,28.8,,,,,,,,81,442,,18.16
LATTA ES,ADA,ADA,PONTOTOC COUNTY,23.7,,,,,,,4,104,309,,17.59
LATTA HS,ADA,ADA,PONTOTOC COUNTY,10.7,,,,62,42,45,,,,149,13.93
LATTA JHS,ADA,ADA,PONTOTOC COUNTY,13,59,60,49,,,,,,119,49,12.92
LAVERNE ES,LAVERNE,LAVERNE,HARPER COUNTY,22.3,29,31,,,,,,69,263,,14.89
LAVERNE HS,LAVERNE,LAVERNE,HARPER COUNTY,11.7,,,32,37,25,34,,,,128,10.94
LAWTON HS,LAWTON,LAWTON,COMANCHE COUNTY,114.6,,,527,480,417,440,16,,,1864,16.4
LEACH PUBLIC SCHOOL,ROSE,TWIN OAKS,DELAWARE COUNTY,11,19,10,,,,,,40,120,,14.55
LEARNING TREE ACADEMY,LAWTON,LAWTON,COMANCHE COUNTY,14,,,,,,,,333,,,23.79
LEE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,32,,,,,,,,128,407,,16.72
LEE ES,PAULS VALLEY,PAULS VALLEY,GARVIN COUNTY,17,,,,,,,,,266,,15.65
LEE ES,TULSA,TULSA,TULSA COUNTY,23.7,,,,,,,,66,314,,16.03
LEEDEY ES,LEEDEY,LEEDEY,DEWEY COUNTY,11.7,16,14,,,,,,28,118,,12.48
LEEDEY HS,LEEDEY,LEEDEY,DEWEY COUNTY,8.7,,,14,17,14,16,,,,61,7.01
LEFLORE ES,LEFLORE,LEFLORE,LE FLORE COUNTY,12.4,9,15,,,,,,32,116,,11.94
LEFLORE HS,LEFLORE,LEFLORE,LE FLORE COUNTY,5.8,,,12,16,13,14,,,,55,9.48
LEISURE PARK ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,32.7,,,,,,,,129,410,,16.48
LESLIE F. ROBLYER MS,EL RENO,EL RENO,CANADIAN COUNTY,21.2,186,,,,,,,,340,,16.04
LEWIS AND CLARK MS,TULSA,TULSA,TULSA COUNTY,29.4,149,160,,,,,,,455,,15.48
LEXINGTON ES,LEXINGTON,LEXINGTON,CLEVELAND COUNTY,27.3,,,,,,,7,146,326,,17.55
LEXINGTON HS,LEXINGTON,LEXINGTON,CLEVELAND COUNTY,13.9,,,,64,55,79,,,,198,14.24
LEXINGTON INTERMEDIATE SCHOOL,LEXINGTON,LEXINGTON,CLEVELAND COUNTY,11.5,,,,,,,1,,164,,14.35
LEXINGTON JHS,LEXINGTON,LEXINGTON,CLEVELAND COUNTY,11.9,89,74,56,,,,,,163,56,18.4
LIBERTY ES,MOUNDS,MOUNDS,TULSA COUNTY,24.4,49,45,,,,,,75,337,,16.89
LIBERTY ES,BROKEN ARROW,BROKEN ARROW,WAGONER COUNTY,36,,,,,,,,232,440,,18.67
LIBERTY ES,SAPULPA,SAPULPA,CREEK COUNTY,21.4,,,,,,,,88,223,,14.53
LIBERTY ES,PONCA CITY,PONCA CITY,KAY COUNTY,19,,,,,,,,87,221,,16.21
LIBERTY ES,SALLISAW,SALLISAW,SEQUOYAH COUNTY,38,,,,,,,1,292,336,,16.55
LIBERTY HS,MOUNDS,MOUNDS,TULSA COUNTY,14.2,,,57,48,49,38,,,,192,13.52
LIBERTY PUBLIC SCHOOL,MULDROW,ROLAND,SEQUOYAH COUNTY,20.7,33,28,,,,,,51,249,,14.49
LIMESTONE ES,SAND SPRINGS,SAND SPRINGS,TULSA COUNTY,18,,,,,,,,45,240,,15.83
LINCOLN ES,PONCA CITY,PONCA CITY,KAY COUNTY,32.5,,,,,,,,153,365,,15.94
LINCOLN ES,CHICKASHA,CHICKASHA,GRADY COUNTY,19.2,,,,,,,1,,342,,17.86
LINCOLN ES,LAWTON,LAWTON,COMANCHE COUNTY,22.4,,,,,,,,96,261,,15.94
LINCOLN ES,EL RENO,EL RENO,CANADIAN COUNTY,19.3,,,,,,,,,318,,16.48
LINCOLN ES,NORMAN,NORMAN,CLEVELAND COUNTY,21.1,,,,,,,,102,205,,14.55
LINCOLN ES,PRYOR,PRYOR,MAYES COUNTY,33.6,,,,,,,3,227,394,,18.57
LINCOLN ES,ALVA,ALVA,WOODS COUNTY,8.6,,,,,,,,,135,,15.7
LINCOLN ES,ARDMORE,ARDMORE,CARTER COUNTY,18.8,,,,,,,,,274,,14.57
LINCOLN PRESCHOOL,WAGONER,WAGONER,WAGONER COUNTY,8.4,,,,,,,,154,,,18.33
LINDBERGH ES,TULSA,TULSA,TULSA COUNTY,34.5,,,,,,,,129,373,,14.55
LINDSAY ES,LINDSAY,LINDSAY,GARVIN COUNTY,41.1,,,,,,,,180,450,,15.33
LINDSAY HS,LINDSAY,LINDSAY,GARVIN COUNTY,22.6,,,73,70,66,64,,,,273,12.08
LINDSAY MS,LINDSAY,LINDSAY,GARVIN COUNTY,17.9,80,83,,,,,,,260,,14.53
LINWOOD ES,OKC,OKLAHOMA CITY,OKLAHOMA COUNTY,23.5,,,,,,,2,107,287,,16.85
LITTLE AXE ES,NORMAN,NORMAN,CLEVELAND COUNTY,32.9,,,,,,,,173,429,,18.3
LITTLE AXE HS,NORMAN,NORMAN,CLEVELAND COUNTY,25.8,,,93,94,92,89,,,,368,14.26
LITTLE AXE MS,NORMAN,NORMAN,CLEVELAND COUNTY,16.3,87,68,,,,,,,248,,15.21
LOCUST GROVE EARLY LRNING CTR,LOCUST GROVE,LOCUST GROVE,MAYES COUNTY,20.3,,,,,,,3,216,120,,16.7
LOCUST GROVE HS,LOCUST GROVE,LOCUST GROVE,MAYES COUNTY,33,,,114,126,132,100,,,,472,14.3
LOCUST GROVE MS,LOCUST GROVE,LOCUST GROVE,MAYES COUNTY,21.6,113,110,,,,,1,,338,,15.69
LOCUST GROVE UPPER ES,LOCUST GROVE,LOCUST GROVE,MAYES COUNTY,30,,,,,,,,,445,,14.83
LOMEGA ES,OMEGA,LOYAL,KINGFISHER COUNTY,11.2,15,12,,,,,,38,134,,15.36
LOMEGA HS,OMEGA,OMEGA,KINGFISHER COUNTY,6.2,,,9,10,13,18,,,,50,8.06
LONE GROVE HS,LONE GROVE,LONE GROVE,CARTER COUNTY,31.1,,,108,107,106,79,,,,400,12.86
LONE GROVE INTERMEDIATE SCHOOL,LONE GROVE,LONE GROVE,CARTER COUNTY,19.9,,,,,,,,,341,,17.14
LONE GROVE MS,LONE GROVE,LONE GROVE,CARTER COUNTY,25.1,130,103,,,,,,,352,,14.02
LONE GROVE PRIMARY ES,LONE GROVE,LONE GROVE,CARTER COUNTY,29.2,,,,,,,,239,239,,16.37
LONE STAR PUBLIC SCHOOL,SAPULPA,SAPULPA,CREEK COUNTY,51.5,82,82,,,,,,187,697,,17.17
LONE WOLF ES,LONE WOLF,LONE WOLF,KIOWA COUNTY,6.8,4,3,,,,,,14,54,,10
LONE WOLF HS,LONE WOLF,LONE WOLF,KIOWA COUNTY,4.3,,,4,7,11,6,,,,28,6.51
LONGFELLOW ES,ALVA,ALVA,WOODS COUNTY,9.9,,,,,,,,,134,,13.54
LONGFELLOW MS,NORMAN,NORMAN,CLEVELAND COUNTY,41.7,181,217,,,,,,,621,,14.89
LONGFELLOW MS,ENID,ENID,GARFIELD COUNTY,28.1,142,117,,,,,,,393,,13.99
LOOKEBA-SICKLES ES,LOOKEBA,LOOKEBA,CADDO COUNTY,11,19,15,,,,,,38,141,,16.27
LOOKEBA-SICKLES HS,LOOKEBA,LOOKEBA,CADDO COUNTY,5.7,,,18,13,21,19,,,,71,12.46
LOWREY PUBLIC SCHOOL,TAHLEQUAH,TAHLEQUAH,CHEROKEE COUNTY,10.9,16,13,,,,,,32,132,,15.05
LUKFATA PUBLIC SCHOOL,BROKEN BOW,BROKEN BOW,MCCURTAIN COUNTY,20.9,23,31,,,,,,80,242,,15.41
LUTHER ES,LUTHER,LUTHER,OKLAHOMA COUNTY,22.1,,,,,,,,138,249,,17.51
LUTHER HS,LUTHER,LUTHER,OKLAHOMA COUNTY,17.7,,,60,61,62,60,,,,243,13.73
LUTHER MS,LUTHER,LUTHER,OKLAHOMA COUNTY,17.1,66,54,,,,,,,260,,15.2
LYNN WOOD ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,29,,,,,,,,103,413,,17.79
M.L. KING JR. ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,27.4,,,,,,,1,114,329,,16.2
MACARTHUR ES,TULSA,TULSA,TULSA COUNTY,23.5,,,,,,,,87,233,,13.62
MACARTHUR HS,LAWTON,LAWTON,COMANCHE COUNTY,69.4,,,270,293,313,251,,,,1127,16.24
MACARTHUR MS,LAWTON,LAWTON,COMANCHE COUNTY,57.7,263,259,,,,,,,783,,13.57
MACOMB ES,MACOMB,MACOMB,POTTAWATOMIE COUNTY,16.6,36,27,,,,,14,34,213,,15.72
MACOMB HS,MACOMB,MACOMB,POTTAWATOMIE COUNTY,9.3,,,31,29,29,21,,,,110,11.83
MADILL ES,MADILL,MADILL,MARSHALL COUNTY,52,,,,,,,,277,651,,17.85
MADILL HS,MADILL,MADILL,MARSHALL COUNTY,31.4,,,133,137,115,101,,,,486,15.48
MADILL MS,MADILL,MADILL,MARSHALL COUNTY,23.6,119,118,,,,,,,373,,15.81
MADISON ES,NORMAN,NORMAN,CLEVELAND COUNTY,36.7,,,,,,,,159,428,,15.99
MADISON MS,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,42.2,208,222,,,,,,,645,,15.28
MADISON MS,TULSA,TULSA,TULSA COUNTY,25.7,100,93,,,,,,,326,,12.68
MANGUM HS,MANGUM,MANGUM,GREER COUNTY,16.2,,,50,49,48,45,1,,,192,11.91
MANGUM MS,MANGUM,MANGUM,GREER COUNTY,14.1,48,43,,,,,1,,180,,12.84
MANNFORD EC CTR,MANNFORD,MANNFORD,CREEK COUNTY,9.9,,,,,,,,197,,,19.9
MANNFORD HS,MANNFORD,MANNFORD,CREEK COUNTY,35.7,,,149,139,116,113,,,,517,14.48
